"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007249","canonical NF-kappaB signal transduction","73/1653","359/18860",0.203342618384401,2.32004947533564,7.82677788535615,6.69947114399648e-12,3.5050414939727e-09,2.9887975572547e-09,"IFIT5/TRIM22/STAT1/TRIM38/TRIM5/APOL3/CCR1/TRIM21/TMEM106A/CARD16/LILRB4/CREBBP/CFLAR/TLR8/TNFSF10/CASP1/CLEC7A/TNFSF14/KLF4/AKAP13/C15orf39/ZC3HAV1/S100A13/TLR2/FASLG/CASP10/EP300/CHRNA7/USP15/JMJD8/CX3CR1/TLR6/PPP2CB/TLR3/TNFSF15/NAMPT/TRIM25/RHOH/TRAF1/INSR/CARD14/REL/LGALS9/MIER1/IRAK2/CASP7/CASP8/TNFRSF19/TRADD/CARD8/PLEKHG5/TRAF7/NOD1/PPM1B/GSTP1/S100A4/BIRC3/TNIP1/CD4/ADIPOQ/TNFAIP3/SPI1/TNFRSF1A/NOD2/SIVA1/TANK/DDX21/SHISA5/RBX1/TRAF4/BIRC2/RASSF2/TGFB1",73
"GO:0050777","negative regulation of immune response","53/1653","226/18860",0.234513274336283,2.67569289412117,7.85486598373228,2.12664973775985e-11,1.01990577006733e-08,8.69687813810213e-09,"OAS3/CD274/PARP14/IFI16/USP18/SERPING1/OAS1/HAVCR2/TRIM21/LILRB4/CLU/TRAFD1/MICA/RPS19/ATG12/LILRB1/LGALS3/CD59/USP15/SERPINB9/PTPRC/STAT2/CEACAM1/SLAMF8/CLEC12A/KLRD1/STAT5A/NMI/CD55/RHBDF2/ALOX15/SAMSN1/NLRC5/LGALS9/JAK3/SELENOS/SPN/SMCR8/FYN/INPP5D/USP5/MAPK14/LYN/TNFAIP3/SPI1/CD80/VSIG4/BCL6/ISG15/CD69/ENPP3/NCKAP1L/TGFB1",53
"GO:0002218","activation of innate immune response","72/1653","362/18860",0.198895027624309,2.26930442891378,7.55789529129698,2.7624804344001e-11,1.22292883845943e-08,1.04280840365775e-08,"OAS3/CD274/ZNFX1/DDX60/RSAD2/IFI16/EIF2AK2/OASL/GBP5/OAS1/LRCH4/TRIM5/CASP4/HAVCR2/CLEC4E/IRF7/CREBBP/TLR8/GBP2/CASP1/PIK3AP1/AIM2/CLEC7A/IRF1/ZC3HAV1/TLR2/TLR1/WDFY1/EP300/MNDA/USP15/CD300LF/NAIP/P2RX7/TLR6/FFAR2/AKT1/MEFV/KLRD1/TLR3/NMI/NOP53/NLRP3/TRIM25/ZDHHC1/ECSIT/TRAF3IP3/PYHIN1/IFI35/RICTOR/TKFC/IRAK2/UNC93B1/TREML4/CARD8/NFKBIZ/NOD1/KCNK6/TRIM3/FYN/ABHD17A/APPL2/EPG5/BIRC3/TNIP1/MAPK14/LYN/TNFAIP3/NOD2/PHB2/NLRP1/BIRC2",72
"GO:0050792","regulation of viral process","39/1653","141/18860",0.276595744680851,3.15583529623766,7.96392185597873,5.11046144073442e-11,2.1007646851019e-08,1.7913512208048e-08,"IFIT1/OAS3/OAS2/ZNFX1/MX1/RSAD2/IFIT5/IFI16/EIF2AK2/OASL/STAT1/IFITM3/OAS1/TRIM38/IFITM1/SP100/TRIM5/N4BP1/PLSCR1/LAMP3/SLPI/TRIM21/BSG/ATG12/APOBEC3F/ZC3HAV1/ISG20/PPIA/TRIM25/TRIM6/P4HB/TRIM28/LGALS9/CCL5/PROX1/APOBEC3A/TNIP1/CD4/ISG15",39
"GO:0002429","immune response-activating cell surface receptor signaling pathway","70/1653","353/18860",0.198300283286119,2.26251865866679,7.42164749958796,6.00670828688557e-11,2.30457374606843e-08,1.96514203743583e-08,"GBP1/OAS1/ELF1/PLSCR1/CMKLR1/C3AR1/LILRB4/CREBBP/IGHA2/LCP2/PRAM1/FYB1/BTN3A1/EZR/PIK3AP1/CLEC7A/MICB/NFAM1/IGHG1/FCER1G/TLR2/TLR1/NR4A3/WDFY1/LGALS3/FPR3/EP300/MNDA/ICOSLG/PTPRC/TLR6/FFAR2/CEACAM1/CD81/NFKBID/AKT1/KLRD1/PRKCH/NMI/SLA2/ECSIT/IFI35/IGHG2/CD226/IRAK2/CD53/BTN3A3/TRAC/PDE4B/NFKBIZ/TRGC1/PHPT1/THEMIS2/THEMIS/FPR1/UBASH3A/FYN/BTN2A2/INPP5D/APPL2/LYN/TNFAIP3/FOSL2/IGKC/SIVA1/RPS3/FPR2/STAP1/HHLA2/NCKAP1L",70
"GO:0045069","regulation of viral genome replication","28/1653","80/18860",0.35,3.99334543254688,8.31566939103164,6.43176695222785e-11,2.31342617562945e-08,1.9726906270583e-08,"IFIT1/OAS3/OAS2/ZNFX1/MX1/RSAD2/IFIT5/IFI16/EIF2AK2/OASL/IFITM3/OAS1/TRIM38/IFITM1/N4BP1/PLSCR1/SLPI/APOBEC3F/ZC3HAV1/ISG20/PPIA/TRIM6/TRIM28/CCL5/PROX1/APOBEC3A/TNIP1/ISG15",28
"GO:0043122","regulation of canonical NF-kappaB signal transduction","67/1653","332/18860",0.201807228915663,2.30253135955801,7.42140507050085,6.98555964686063e-11,2.36481739809899e-08,2.0165126361402e-08,"IFIT5/TRIM22/STAT1/TRIM38/TRIM5/APOL3/TMEM106A/CARD16/LILRB4/CFLAR/TLR8/TNFSF10/CASP1/CLEC7A/TNFSF14/KLF4/AKAP13/C15orf39/ZC3HAV1/S100A13/TLR2/FASLG/CASP10/CHRNA7/USP15/JMJD8/CX3CR1/TLR6/PPP2CB/TLR3/TNFSF15/NAMPT/TRIM25/RHOH/TRAF1/INSR/CARD14/REL/LGALS9/MIER1/IRAK2/CASP7/CASP8/TNFRSF19/TRADD/CARD8/PLEKHG5/NOD1/PPM1B/GSTP1/S100A4/BIRC3/TNIP1/CD4/ADIPOQ/TNFAIP3/SPI1/TNFRSF1A/NOD2/SIVA1/TANK/DDX21/SHISA5/RBX1/TRAF4/BIRC2/TGFB1",67
"GO:0002758","innate immune response-activating signaling pathway","68/1653","342/18860",0.198830409356725,2.26856716301744,7.337914654722,9.99163071080326e-11,3.19454637448182e-08,2.72403405694531e-08,"OAS3/CD274/DDX60/RSAD2/IFI16/EIF2AK2/OASL/GBP5/OAS1/LRCH4/CASP4/HAVCR2/CLEC4E/IRF7/CREBBP/TLR8/GBP2/CASP1/PIK3AP1/AIM2/CLEC7A/IRF1/ZC3HAV1/TLR2/TLR1/WDFY1/EP300/USP15/CD300LF/NAIP/P2RX7/TLR6/FFAR2/AKT1/MEFV/KLRD1/TLR3/NMI/NOP53/NLRP3/TRIM25/ZDHHC1/ECSIT/TRAF3IP3/IFI35/RICTOR/TKFC/IRAK2/UNC93B1/TREML4/CARD8/NFKBIZ/NOD1/KCNK6/TRIM3/FYN/ABHD17A/APPL2/EPG5/BIRC3/TNIP1/MAPK14/LYN/TNFAIP3/NOD2/PHB2/NLRP1/BIRC2",68
"GO:0019058","viral life cycle","61/1653","298/18860",0.204697986577181,2.3355136278558,7.20256604949133,2.7378829437642e-10,8.29290333755945e-08,7.07147384145634e-08,"IFIT1/OAS3/SIGLEC1/OAS2/ZNFX1/MX1/PCSK5/RSAD2/IFIT5/IFI16/EIF2AK2/OASL/GBP5/IFITM3/OAS1/TRIM38/IFITM1/TRIM5/N4BP1/PLSCR1/CCL2/LAMP3/SLPI/TRIM21/GBP2/SELPLG/BSG/APOBEC3F/ACE2/ZC3HAV1/CD86/CTSB/ISG20/CCR5/RPSA/CD81/PPIA/DAG1/TRIM25/CD55/CCL8/TRIM6/INSR/P4HB/TRIM28/LGALS9/CBL/CCL5/EPHA2/SLC20A2/PROX1/NEDD4/CXCR4/APOBEC3A/CTSL/TNIP1/CD4/ICAM1/CD80/SIVA1/ISG15",61
"GO:0016032","viral process","74/1653","396/18860",0.186868686868687,2.1320891919803,7.05681153773741,3.02330151992962e-10,8.69955012359749e-08,7.41822720311152e-08,"IFIT1/OAS3/SIGLEC1/OAS2/ZNFX1/MX1/PCSK5/RSAD2/IFIT5/IFI16/EIF2AK2/PARP9/OASL/GBP5/STAT1/IFITM3/OAS1/TRIM38/IFITM1/SP100/TRIM5/N4BP1/PLSCR1/OAZ1/CCL2/LAMP3/IRF7/SLPI/TRIM21/GBP2/SELPLG/BSG/ATG12/APOBEC3F/ACE2/ZC3HAV1/CD86/CTSB/ISG20/CCR5/JUN/RPSA/CD81/MGAT4C/PPIA/DAG1/TRIM25/CD55/CCL8/EIF3L/TRIM6/INSR/P4HB/TRIM28/LGALS9/ST3GAL2/CBL/CCL5/CALCOCO2/EPHA2/PARP10/SLC20A2/PROX1/ST6GALNAC2/NEDD4/CXCR4/APOBEC3A/CTSL/TNIP1/CD4/ICAM1/CD80/SIVA1/ISG15",74
