"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05162","Measles","27/865","136/9377",0.198529411764706,2.15215062903774,4.31439869517843,9.84237617254964e-05,0.00299745092527648,0.0027125400360711,"OAS3/OAS2/MX1/EIF2AK2/MX2/STAT1/OAS1/IRF7/BAD/IRF9/AKT1/JUN/STAT2/FASLG/IL2RG/PIK3R2/TLR2/STAT5A/RACK1/IL2RA/CCND2/MSN/FAS/IFIH1/CASP8/TRADD/TLR7",27
"hsa05415","Diabetic cardiomyopathy","35/865","205/9377",0.170731707317073,1.8508106583956,3.92625836707163,0.000244105277214773,0.00656507062466336,0.0059410536996168,"NDUFV1/ATP5F1E/NCF2/UQCRQ/COX4I1/NDUFB10/SLC25A6/UQCR11/AKT1/NDUFB7/NDUFS6/COX6A1/CYBB/NDUFC1/NDUFA2/PIK3R2/UQCRC1/UQCRFS1/NDUFA13/INSR/NDUFS5/NDUFA3/CTSD/COX5A/NDUFB2/SLC25A5/NDUFA9/NDUFC2/UQCRHL/COX5B/ATP5PO/ATP5PB/COX8A/UQCRH/COX7A2",35
"hsa04061","Viral protein interaction with cytokine and cytokine receptor","21/865","100/9377",0.21,2.27649710982659,4.09088341782259,0.000254763934688429,0.00656507062466336,0.0059410536996168,"CXCL10/CXCL11/CXCL9/CCL2/CCR1/IL10RA/TNFSF10/TNFSF14/CCL4/CCR5/IL2RG/TNFRSF1B/CXCR1/CCL8/IL2RA/CCL3L3/CX3CR1/CCL5/CCL3/IL20RA/CXCR4",21
"hsa04210","Apoptosis","26/865","137/9377",0.18978102189781,2.05731403738239,3.97401353288321,0.000280864554038929,0.00672068754307438,0.00608187906490313,"CFLAR/TNFSF10/CTSB/BAD/CTSH/SEPTIN4/AKT1/CASP10/LMNA/JUN/FASLG/ITPR2/LMNB1/PIK3R2/TRAF1/GADD45A/MCL1/CTSL/TUBA1B/PRF1/BIRC3/CTSD/CASP7/FAS/CASP8/TRADD",26
"hsa05020","Prion disease","43/865","275/9377",0.156363636363636,1.69505412506569,3.72921654288314,0.000377316569776764,0.00842673672501438,0.00762576646285669,"NDUFV1/ATP5F1E/NCF2/UQCRQ/TUBB2A/TUBB4B/BAD/COX4I1/NDUFB10/SLC25A6/UQCR11/NDUFB7/NDUFS6/COX6A1/CYBB/NDUFC1/CREB5/ITPR2/NDUFA2/PIK3R2/UQCRC1/UQCRFS1/NDUFA13/C1QC/NDUFS5/NDUFA3/TUBA1B/C1QB/PSMB6/FYN/CCL5/COX5A/NDUFB2/SLC25A5/NDUFA9/NDUFC2/UQCRHL/COX5B/ATP5PO/ATP5PB/COX8A/UQCRH/COX7A2",43
"hsa05010","Alzheimer disease","56/865","388/9377",0.144329896907216,1.56460282462309,3.62079773305735,0.000442823439466996,0.00927161576384023,0.00839033885305888,"EIF2AK2/NDUFV1/ATP5F1E/UQCRQ/TUBB2A/TUBB4B/BAD/COX4I1/NDUFB10/SLC25A6/UQCR11/AKT1/NDUFB7/NDUFS6/COX6A1/CYBB/NDUFC1/ITPR2/NDUFA2/CHRNA7/PIK3R2/PSENEN/UQCRC1/UQCRFS1/NDUFA13/DVL1/INSR/NDUFS5/FZD6/FZD3/CALML3/NDUFA3/TUBA1B/LRP1/CASP7/PSMB6/WNT7A/COX5A/NDUFB2/SLC25A5/NDUFA9/NDUFC2/FAS/NCSTN/UQCRHL/COX5B/CASP8/ATG2A/ATP5PO/ATP5PB/APBB1/MAPT/COX8A/UQCRH/COX7A2/LRP5",56
"hsa05167","Kaposi sarcoma-associated herpesvirus infection","33/865","196/9377",0.168367346938776,1.82517989854901,3.72162600370381,0.000471142614537325,0.00928428093352964,0.00840180018493806,"EIF2AK2/STAT1/IRF7/CCR1/MICA/CREBBP/MICB/IRF9/AKT1/CD86/EP300/CCR5/CLEC2B/JUN/STAT2/PIK3R5/ITPR2/RCAN1/PIK3R2/TLR3/CALML3/RPS27A/HIF1A/UBA52/JAK2/FAS/GNB4/CASP8/LYN/TRADD/PREX1/MAP2K6/MAP2K4",33
"hsa05130","Pathogenic Escherichia coli infection","33/865","200/9377",0.165,1.78867630057803,3.59388741734687,0.000680857712547963,0.0126715185390871,0.0114670772639657,"EZR/CASP4/CASP1/TUBB2A/CLDN4/TUBB4B/CLDN7/TNFSF10/CLDN3/CTTN/NAIP/JUN/MYO5A/FASLG/WIPF2/NLRP3/TMED10/ARHGEF11/TUBA1B/SEC24C/HCLS1/ARHGEF2/CASP7/NCKAP1L/FYN/MYH14/MYH11/ARPC1A/FAS/CLDN16/CASP8/TRADD/FCGR2A",33
"hsa04668","TNF signaling pathway","22/865","119/9377",0.184873949579832,2.00411910428911,3.51399523355211,0.00115684352245217,0.0203969778958673,0.0184582235161344,"CXCL10/CCL2/CFLAR/AKT1/CASP10/MLKL/IRF1/JUN/CREB5/PIK3R2/TRAF1/TNFRSF1B/NOD2/BIRC3/CASP7/CCL5/FAS/CASP8/TRADD/MAP2K6/IL15/MAP2K4",22
"hsa04714","Thermogenesis","36/865","235/9377",0.153191489361702,1.66066658467593,3.2696156976442,0.00159403730709443,0.0267001248938318,0.0241622497075367,"NDUFV1/ATP5F1E/UQCRQ/COX4I1/ATP5ME/NDUFB10/UQCR11/NDUFB7/NDUFS6/COX6A1/ACSL4/NDUFC1/RPS6/CREB5/NDUFA2/UQCRC1/UQCRFS1/NDUFA13/ADCY7/NDUFS5/COA4/ATP5MG/COA3/NDUFA3/COX5A/NDUFB2/NDUFA9/COX16/NDUFC2/UQCRHL/COX5B/ATP5PO/ATP5PB/COX8A/UQCRH/COX7A2",36
"hsa05022","Pathways of neurodegeneration - multiple diseases","63/865","480/9377",0.13125,1.42281069364162,3.03141804757282,0.00238529234190877,0.0380510921209257,0.0344342954621417,"UBE2L6/NDUFV1/ATP5F1E/UQCRQ/TUBB2A/TUBB4B/GRIA4/BAD/COX4I1/NDUFB10/SLC25A6/UQCR11/NDUFB7/NDUFS6/COX6A1/CYBB/NDUFC1/RAB8A/FASLG/ITPR2/NDUFA2/CHRNA7/UQCRC1/UQCRFS1/TNFRSF1B/DNAI2/NDUFA13/DVL1/GPX1/IFT57/NDUFS5/FZD6/FZD3/CALML3/NDUFA3/TUBA1B/RPS27A/DNALI1/CASP7/UBA52/PSMB6/SMCR8/WNT7A/COX5A/NDUFB2/SLC25A5/NDUFA9/TOMM40L/NDUFC2/FAS/UQCRHL/COX5B/CASP8/ATG2A/ATP5PO/ATP5PB/MAPT/MAP2K6/COX8A/UQCRH/COX7A2/TANK/LRP5",63
"hsa05142","Chagas disease","19/865","103/9377",0.184466019417476,1.99969695269095,3.25202952926969,0.00250670945827795,0.0381703485692324,0.034542216458567,"CCL2/CFLAR/AKT1/JUN/FASLG/PIK3R2/TLR2/PPP2R1B/TLR6/C1QC/PPP2CB/CCL3L3/C1QB/CCL5/FAS/CASP8/CCL3/SERPINE1/MAP2K4",19
"hsa05012","Parkinson disease","39/865","268/9377",0.145522388059701,1.57752998015702,3.05778978415317,0.00270798513564661,0.0394423921931136,0.0356933509870125,"UBE2L6/NDUFV1/ATP5F1E/UQCRQ/TUBB2A/TUBB4B/COX4I1/NDUFB10/SLC25A6/UQCR11/NDUFB7/NDUFS6/COX6A1/NDUFC1/ITPR2/NDUFA2/UQCRC1/UQCRFS1/NDUFA13/NDUFS5/CALML3/NDUFA3/TUBA1B/RPS27A/UBA52/PSMB6/COX5A/NDUFB2/SLC25A5/NDUFA9/NDUFC2/UQCRHL/COX5B/ATP5PO/ATP5PB/MAPT/COX8A/UQCRH/COX7A2",39
